District,Postal Codes,Category
Allach-Untermenzing,"80995, 80997, 80999, 81247, 81249",1
Altstadt-Lehel,"80331, 80333, 80335, 80336, 80469, 80538, 80539",5
Au-Haidhausen,"81541, 81543, 81667, 81669, 81671, 81675, 81677",4
Aubing-Lochhausen-Langwied,"81243, 81245, 81248, 81249",1
Berg am Laim,"81671, 81673, 81735, 81825",3
Bogenhausen,"81675, 81677, 81679, 81925, 81927, 81929",2
Feldmoching-Hasenbergl,"80933, 80935, 80995",1
Hadern,"80689, 81375, 81377",2
Laim,"80686, 80687, 80689",3
Ludwigsvorstadt-Isarvorstadt,"80335, 80336, 80337, 80469",4
Maxvorstadt,"80333, 80335, 80539, 80636, 80797, 80798, 80799, 80801, 80802",4
Milbertshofen-Am Hart,"80807, 80809, 80937, 80939",3
Moosach,"80637, 80638, 80992, 80993, 80997",3
Neuhausen-Nymphenburg,"80634, 80636, 80637, 80638, 80639",4
Obergiesing,"81539, 81541, 81547, 81549",3
Pasing-Obermenzing,"80687, 80689, 81241, 81243, 81245, 81247",2
Ramersdorf-Perlach,"81539, 81549, 81669, 81671, 81735, 81737, 81739",2
Schwabing-Freimann,"80538, 80801, 80802, 80803, 80804, 80805, 80807, 80939",3
Schwabing-West,"80796, 80797, 80798, 80799, 80801, 80803, 80804, 80809",4
Schwanthalerhöhe,"80335, 80339",4
Sendling,"80336, 80337, 80469, 81369, 81371, 81373, 81379",2
Sendling-Westpark,"80686, 81369, 81373, 81377, 81379",2
Thalkirchen-Obersendling-Fürstenried-Forstenried-Solln,"81379, 81475, 81476, 81477, 81479",3
Trudering-Riem,"81735, 81825, 81827, 81829",2
Untergiesing-Harlaching,"81543, 81545, 81547",4
